Mon Apr 14 17:00:45 2025


Number of Points = 16378

Depth (nm)	Load (µN)	Time (s)
20.504019	1968.986734	0.000000
20.734779	2007.919343	0.005005
20.530645	2082.279728	0.010010
-165.377424	-112.561837	1.005965
-166.407226	-87.964670	1.010970
-167.329263	-137.505800	1.015974
-168.210868	-125.483151	1.020979
-169.251372	-161.033025	1.025984
-170.368547	-57.142615	1.030989
-171.245814	-150.325555	1.035994
-172.297846	-120.534395	1.040998
-173.186536	-102.127687	1.046003
-174.311554	-107.805917	1.051008
-175.142156	-51.071781	1.056013
-176.210808	-92.756426	1.061018
-177.297324	-121.840636	1.066022
-178.231148	-36.723923	1.071027
-179.187729	-124.906802	1.076032
-180.313713	-95.404024	1.081037
-181.182832	-99.070649	1.086042
-182.322364	-0.596999	1.091046
-183.194500	-62.905637	1.096051
-184.345815	-126.636115	1.101056
-185.127916	-113.557575	1.106061
-186.289172	-112.660668	1.111066
-187.176360	-63.384474	1.116070
-188.487318	-24.811099	1.121075
-189.464777	-65.843838	1.126080
-190.326145	-45.719223	1.131085
-191.560221	-115.816632	1.136090
-192.325789	2.373308	1.141094
-193.060044	-60.274822	1.146099
-194.541901	-148.866165	1.151104
-195.247236	-36.120736	1.156109
-196.319526	-59.403528	1.161114
-197.392989	-93.791313	1.166118
-198.413561	-111.460179	1.171123
-199.354409	-205.453883	1.176128
-200.191219	-72.606838	1.181133
-201.413973	-50.035569	1.186138
-202.292731	-99.734813	1.191142
-203.279145	-44.381968	1.196147
-204.241578	-169.770453	1.201152
-205.397116	-67.919511	1.206157
-206.445965	-115.760708	1.211162
-207.253099	-21.206967	1.216166
-208.343598	-134.841067	1.221171
-209.227695	-134.805029	1.226176
-210.451812	-47.452811	1.231181
-211.595228	-73.602600	1.236186
-212.362501	-46.970839	1.241190
-213.427390	-103.009118	1.246195
-214.356478	-76.324018	1.251200
-215.510042	-130.324603	1.256205
-216.378035	-132.815244	1.261210
-217.367935	-123.766124	1.266214
-218.332224	-81.621965	1.271219
-219.334035	-152.596538	1.276224
-220.489417	-127.895245	1.281229
-221.579557	6.036936	1.286234
-222.445941	-116.430339	1.291238
-223.403058	-155.730134	1.296243
-224.519425	-51.420649	1.301248
-225.606501	-175.047301	1.306253
-226.610672	-86.672862	1.311258
-227.578007	-127.164328	1.316262
-228.341073	-136.534212	1.321267
-229.514481	-27.857476	1.326272
-230.448057	-63.292360	1.331277
-231.493892	-120.150141	1.336282
-232.295874	-43.185338	1.341286
-233.479305	-110.734029	1.346291
-234.541753	-135.064656	1.351296
-235.358947	-114.391463	1.356301
-236.336339	-12.486325	1.361306
-237.343632	-83.934739	1.366310
-238.416410	-89.348389	1.371315
-239.672961	-123.200022	1.376320
-240.496557	-119.492474	1.381325
-241.441398	-89.880302	1.386330
-242.494224	-67.308638	1.391334
-243.439107	-59.669467	1.396339
-244.585845	-38.724771	1.401344
-245.324719	-224.299566	1.406349
-246.549349	-103.662583	1.411354
-247.548319	-94.829331	1.416358
-248.417386	-72.343312	1.421363
-249.342207	-123.103232	1.426368
-250.592652	-149.911897	1.431373
-251.628556	-87.053621	1.436378
-252.444540	-90.230763	1.441382
-253.501050	-137.950280	1.446387
-254.653479	-106.280008	1.451392
-255.701330	-54.723275	1.456397
-256.439300	-93.538530	1.461402
-257.520057	-1.985082	1.466406
-258.663493	-72.719044	1.471411
-259.181691	-82.257260	1.476416
-260.196737	-52.621810	1.481421
-261.540909	-169.362528	1.486426
-262.670713	-28.241163	1.491430
-263.706631	-24.632387	1.496435
-264.473675	-138.566823	1.501440
-265.646529	-71.558968	1.506445
-266.719204	-100.465926	1.511450
-267.587736	-58.522110	1.516454
-268.578173	-97.660669	1.521459
-269.705270	-122.532909	1.526464
-270.696019	-92.530108	1.531469
-271.626686	-56.828586	1.536474
-272.735246	-57.838180	1.541478
-273.754481	-152.719325	1.546483
-274.489397	-33.119412	1.551488
-275.651739	-166.037000	1.556493
-276.436562	-139.049046	1.561498
-277.616855	-119.932650	1.566502
-278.890386	-108.005521	1.571507
-279.747389	-64.588945	1.576512
-280.843925	-84.954026	1.581517
-281.883689	-120.128310	1.586522
-282.719949	-101.087899	1.591526
-283.427709	-99.151521	1.596531
-284.747050	-107.524271	1.601536
-285.780460	-85.628334	1.606541
-286.724267	-60.927725	1.611546
-287.526195	-77.667377	1.616550
-288.795401	-57.726944	1.621555
-289.563592	-120.288233	1.626560
-290.532021	-132.436866	1.631565
-291.651735	-134.562615	1.636570
-292.658601	-74.547988	1.641574
-293.560331	-134.975438	1.646579
-294.476614	-67.307653	1.651584
-295.670973	-83.767559	1.656589
-296.750142	-57.820967	1.661594
-297.861676	-147.478578	1.666598
-298.753370	-78.010796	1.671603
-299.504526	-98.395959	1.676608
-300.766502	-163.984885	1.681613
-302.018622	-72.963182	1.686618
-302.760121	-73.280487	1.691622
-303.573885	-96.779505	1.696627
-304.688940	-58.307923	1.701632
-305.667261	-144.737301	1.706637
-306.789124	-78.353058	1.711642
-307.829264	-136.225859	1.716646
-308.568417	-65.582100	1.721651
-309.472263	-104.004526	1.726656
-310.709566	-119.073710	1.731661
-311.664097	-122.686668	1.736666
-312.763486	-114.614613	1.741670
-313.794677	-109.055176	1.746675
-314.875495	-70.638684	1.751680
-315.800173	-101.902958	1.756685
-316.825328	-140.335279	1.761690
-317.846983	-127.690321	1.766694
-318.756036	-143.111848	1.771699
-319.622852	-80.753418	1.776704
-320.359135	-92.327940	1.781709
-321.450411	-67.784999	1.786714
-322.639918	-94.200556	1.791718
-323.612842	-132.431131	1.796723
-324.541215	-79.437167	1.801728
-325.410011	-75.132569	1.806733
-326.629814	-39.685740	1.811738
-327.689278	-10.948800	1.816742
-328.582984	-137.861025	1.821747
-329.530539	-60.879337	1.826752
-330.921748	-170.546613	1.831757
-331.547869	-11.303527	1.836762
-332.990659	-77.858899	1.841766
-333.872345	-94.021464	1.846771
-334.599915	-83.563239	1.851776
-335.746355	-84.021993	1.856781
-336.698105	-56.584486	1.861786
-337.775746	-135.704543	1.866790
-338.944701	-81.861531	1.871795
-339.941205	-70.063144	1.876800
-340.836937	-122.277538	1.881805
-341.709710	-81.583491	1.886810
-342.889243	-98.842639	1.891814
-343.795705	-129.249371	1.896819
-344.820498	-121.026648	1.901824
-345.750571	-117.271097	1.906829
-346.769753	-110.357834	1.911834
-347.964422	-124.170835	1.916838
-348.688278	-115.715910	1.921843
-349.530381	-115.117677	1.926848
-350.537339	-97.203171	1.931853
-351.794164	-123.627590	1.936858
-352.557209	-76.925936	1.941862
-353.784422	-108.565601	1.946867
-354.870169	-81.847102	1.951872
-355.704911	-120.936561	1.956877
-356.496642	-103.618693	1.961882
-357.792391	-116.384699	1.966886
-358.806636	-137.896483	1.971891
-359.711885	-61.917244	1.976896
-360.721913	-119.712186	1.981901
-361.843271	-85.361434	1.986906
-362.802883	-104.588876	1.991910
-363.882733	-134.600381	1.996915
-364.606842	-167.219471	2.001920
-365.706515	-132.444247	2.006925
-366.944174	-107.045727	2.011930
-367.580740	-120.079531	2.016934
-368.833070	-120.872290	2.021939
-369.802551	-108.694842	2.026944
-370.876473	-102.908348	2.031949
-371.916659	-129.748347	2.036954
-372.899977	-178.336009	2.041958
-373.632749	-44.997489	2.046963
-374.887143	-103.543785	2.051968
-375.739727	-105.213131	2.056973
-376.954617	-41.406798	2.061978
-377.702750	-188.819227	2.066982
-378.745069	77.373608	2.071987
-379.591513	-158.099271	2.076992
-380.787061	-171.211063	2.081997
-381.738795	-111.527350	2.087002
-382.711358	-38.203531	2.092006
-383.821961	25.912681	2.097011
-384.762299	-111.451239	2.102016
-385.495140	-121.062134	2.107021
-387.012736	-9.268033	2.112026
-387.823263	-126.753798	2.117030
-388.906888	-104.890980	2.122035
-389.910880	-135.165183	2.127040
-390.951639	-41.228556	2.132045
-391.758651	-76.792168	2.137050
-392.872401	-70.573227	2.142054
-393.978257	-85.278795	2.147059
-394.952658	-133.906948	2.152064
-395.795981	-147.435412	2.157069
-397.113160	-55.603518	2.162074
-397.907382	-147.323729	2.167078
-399.181058	-55.130813	2.172083
-399.950904	2.891479	2.177088
-401.039361	-93.893376	2.182093
-401.956454	-37.055062	2.187098
-403.099801	-89.074807	2.192102
-403.877016	-105.734626	2.197107
-404.784095	-119.923968	2.202112
-405.781865	-108.068642	2.207117
-407.036389	-120.916843	2.212122
-407.815947	-155.256796	2.217126
-408.954718	-80.908365	2.222131
-409.571594	-104.597219	2.227136
-410.804708	-123.152185	2.232141
-411.803897	-33.577510	2.237146
-412.862612	-69.376935	2.242150
-413.923334	-64.020070	2.247155
-414.993654	-80.845754	2.252160
-415.848697	-129.801081	2.257165
-416.821174	-115.082334	2.262170
-417.877722	-79.707955	2.267174
-419.076679	-74.073880	2.272179
-420.033058	-108.355411	2.277184
-420.839202	-45.528708	2.282189
-421.900672	-40.734649	2.287194
-423.035782	-45.251023	2.292198
-423.902183	-152.651177	2.297203
-424.945826	-125.070489	2.302208
-425.943728	-174.009719	2.307213
-426.832691	-171.988033	2.312218
-427.857502	-101.424953	2.317222
-428.976195	-150.987479	2.322227
-429.927324	-86.523788	2.327232
-431.168770	-117.732886	2.332237
-432.236482	-143.086958	2.337242
-433.055570	-74.037051	2.342246
-434.171053	-80.768419	2.347251
-434.827421	-93.814286	2.352256
-435.951764	-115.214287	2.357261
-436.938246	-217.587866	2.362266
-438.040698	-25.353286	2.367270
-439.057942	-151.035205	2.372275
-439.941042	-51.338341	2.377280
-440.727487	-255.127510	2.382285
-441.890510	-67.190267	2.387290
-442.940052	-151.630786	2.392294
-444.063962	-191.130922	2.397299
-445.078281	-139.078144	2.402304
-445.846930	-71.089724	2.407309
-446.942391	-113.746446	2.412314
-447.960119	-99.456832	2.417318
-449.029628	-200.232581	2.422323
-449.987911	-91.313965	2.427328
-451.018547	-44.642416	2.432333
-452.122572	5.550936	2.437338
-452.925829	-70.399816	2.442342
-453.984660	18.825765	2.447347
-454.803749	-127.393235	2.452352
-456.044558	-53.004561	2.457357
-457.046348	-107.029096	2.462362
-458.038192	-115.233987	2.467366
-459.076859	-97.734062	2.472371
-460.053650	-282.990563	2.477376
-461.123420	4.738893	2.482381
-461.817587	-82.121771	2.487386
-463.129356	-144.884137	2.492390
-464.148745	-32.341216	2.497395
-465.199737	-157.373605	2.502400
-466.109172	-86.141551	2.507405
-467.173141	-200.714689	2.512410
-468.145785	-111.380505	2.517414
-468.981471	-130.116691	2.522419
-469.865039	-136.630543	2.527424
-471.027829	-84.597261	2.532429
-471.904458	-189.534767	2.537434
-473.142876	28.703584	2.542438
-474.045178	-16.281989	2.547443
-474.897612	-147.505233	2.552448
-476.150410	-28.497147	2.557453
-477.098635	-126.385152	2.562458
-478.107892	-12.006028	2.567462
-479.172284	103.586983	2.572467
-480.125419	-201.009648	2.577472
-481.189430	-149.878829	2.582477
-482.051722	-100.059667	2.587482
-482.980997	-166.164248	2.592486
-483.940383	-67.430686	2.597491
-485.052818	-44.788364	2.602496
-486.075610	-112.457585	2.607501
-487.088118	-139.356274	2.612506
-488.277985	-118.878183	2.617510
-489.183521	-32.055913	2.622515
-490.198274	-116.395211	2.627520
-491.259963	-20.718286	2.632525
-492.255725	-93.295366	2.637530
-492.794888	-208.110774	2.642534
-494.180352	-69.463619	2.647539
-495.307618	-107.511036	2.652544
-496.248557	-81.559445	2.657549
-497.151238	-118.536198	2.662554
-498.208561	-98.783867	2.667558
-499.007158	-122.487400	2.672563
-499.889681	-63.996127	2.677568
-500.830921	-145.181251	2.682573
-501.737983	-108.035460	2.687578
-503.048479	-85.502756	2.692582
-503.813820	-63.919981	2.697587
-504.709675	-128.477762	2.702592
-505.928114	-103.766976	2.707597
-506.746395	-106.873738	2.712602
-507.869200	-106.344781	2.717606
