Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-149.636180	-168.839842	9.018509	1.554280	0.071847
-147.634027	-218.594074	9.028506	1.554027	0.071808
-145.672290	-161.579446	9.038503	1.553771	0.071853
-143.663744	-193.963976	9.048499	1.553516	0.071829
-141.709176	-205.444390	9.058496	1.553267	0.071820
-139.469722	-208.661762	9.068493	1.552980	0.071818
-137.538095	-184.795821	9.078490	1.552731	0.071837
-135.565949	-176.999464	9.088487	1.552477	0.071844
-133.561341	-228.095023	9.098483	1.552224	0.071805
-131.645484	-184.026698	9.108480	1.551976	0.071839
-129.665975	-142.804612	9.118477	1.551719	0.071872
-127.541199	-197.535751	9.128474	1.551451	0.071830
-125.515469	-217.972875	9.138471	1.551193	0.071815
-123.510683	-240.000533	9.148467	1.550938	0.071798
-121.469322	-268.693232	9.158464	1.550678	0.071776
-119.473743	-152.094233	9.168461	1.550414	0.071867
-117.634715	-133.296957	9.178458	1.550177	0.071883
-115.525941	-147.052027	9.188455	1.549908	0.071872
-113.590743	-209.983578	9.198451	1.549665	0.071824
-111.578556	-211.515759	9.208448	1.549407	0.071823
-109.528783	-190.570304	9.218445	1.549143	0.071840
-107.660166	-109.956948	9.228442	1.548898	0.071903
-105.488336	-129.289498	9.238439	1.548622	0.071889
-103.402715	-210.713714	9.248435	1.548360	0.071826
-101.374968	-171.292784	9.258432	1.548098	0.071857
-99.635717	-233.238664	9.268429	1.547880	0.071809
-97.413242	-189.233599	9.278426	1.547592	0.071844
-95.483840	-255.990681	9.288423	1.547350	0.071793
-93.432019	-200.076681	9.298419	1.547083	0.071837
-91.561457	-199.432042	9.308416	1.546844	0.071838
-89.505011	-209.185317	9.318413	1.546581	0.071831
-87.535944	-243.579845	9.328410	1.546331	0.071804
-85.373669	-195.445247	9.338407	1.546051	0.071842
-83.584982	-213.617568	9.348403	1.545824	0.071829
-81.431530	-211.117826	9.358400	1.545548	0.071831
-79.507122	-208.060180	9.368397	1.545301	0.071834
-77.268885	-182.384149	9.378394	1.545013	0.071855
-75.522197	-216.674007	9.388391	1.544792	0.071828
-73.284369	-198.816081	9.398387	1.544504	0.071843
-71.318541	-179.809734	9.408384	1.544251	0.071858
-69.504560	-245.369690	9.418381	1.544024	0.071808
-67.125333	-65.817614	9.428378	1.543706	0.071948
-65.393812	-182.633128	9.438375	1.543493	0.071857
-63.431698	-211.706577	9.448371	1.543244	0.071835
-61.479745	-286.376754	9.458368	1.543000	0.071778
-59.511724	-290.525124	9.468365	1.542748	0.071775
-57.453929	-116.843871	9.478362	1.542473	0.071911
-55.824187	-351.387587	9.488359	1.542281	0.071728
-53.456170	-163.638430	9.498355	1.541965	0.071875
-51.539121	-203.008563	9.508352	1.541722	0.071845
-49.555236	-361.565945	9.518349	1.541480	0.071722
-47.343995	-184.972583	9.528346	1.541184	0.071860
-45.351761	-183.521995	9.538343	1.540929	0.071862
-43.564079	-168.760526	9.548339	1.540700	0.071874
-41.333876	-274.206538	9.558336	1.540422	0.071792
-39.507138	-153.059420	9.568333	1.540180	0.071887
-37.021270	-189.334249	9.578330	1.539864	0.071860
-35.347649	-221.394635	9.588327	1.539653	0.071835
-33.290340	-271.040881	9.598323	1.539393	0.071797
-31.234996	-135.359821	9.608320	1.539120	0.071903
-29.617118	-160.999420	9.618317	1.538916	0.071884
-28.035030	-55.031688	9.628314	1.538706	0.071967
-26.437150	31.172501	9.638311	1.538496	0.072034
-25.013739	120.128386	9.648307	1.538308	0.072104
-23.253896	177.844240	9.658304	1.538079	0.072149
-22.163033	246.888116	9.668301	1.537935	0.072203
-20.306657	468.203335	9.678298	1.537682	0.072376
-18.899942	652.067148	9.688295	1.537489	0.072520
-17.126296	614.165068	9.698291	1.537265	0.072491
-15.704815	842.237116	9.708288	1.537068	0.072669
-13.913528	768.017301	9.718285	1.536844	0.072612
-12.281675	1043.598298	9.728282	1.536616	0.072827
-10.683142	1193.741937	9.738279	1.536401	0.072945
-9.245245	1354.640423	9.748275	1.536207	0.073070
-7.490671	1538.115779	9.758272	1.535969	0.073214
-5.852077	1602.404067	9.768269	1.535756	0.073264
-4.082339	1809.490418	9.778266	1.535515	0.073426
-2.349419	1930.725005	9.788263	1.535285	0.073521
-1.153035	2134.482437	9.798259	1.535118	0.073680

0.000000	2416.149884	9.803264	1.534951	0.073900
-0.525167	2356.765852	9.808269	1.535023	0.073854
-0.472239	2237.871591	9.813274	1.535025	0.073761
-0.533876	2099.305151	9.818279	1.535043	0.073653
-0.730049	2227.483881	9.823283	1.535059	0.073753
-0.789171	2175.092792	9.828288	1.535071	0.073712
-0.727627	2186.612193	9.833293	1.535063	0.073721
-0.919181	2169.168313	9.838298	1.535089	0.073708
-0.741139	2157.002803	9.843303	1.535068	0.073698
-0.957982	2116.928220	9.848307	1.535099	0.073667
-0.747423	2302.384597	9.853312	1.535059	0.073811
-0.960594	2209.152134	9.858317	1.535093	0.073739
-0.910073	2280.552033	9.863322	1.535082	0.073794
-1.148446	2226.505331	9.868327	1.535117	0.073752
-0.923319	2303.579550	9.873331	1.535083	0.073812
-0.666209	2145.441067	9.878336	1.535062	0.073689
-0.808426	2106.906260	9.883341	1.535083	0.073659
-0.190455	2237.745327	9.888346	1.534995	0.073761
-0.551319	2204.989078	9.893351	1.535044	0.073736
-0.060009	2205.353978	9.898355	1.534982	0.073736
-0.441408	2322.812878	9.903360	1.535023	0.073827
0.007202	2175.054692	9.908365	1.534976	0.073712
0.482192	2216.166646	9.913370	1.534913	0.073745
0.811209	2389.889787	9.918375	1.534859	0.073880
0.188084	2404.569554	9.923379	1.534938	0.073891
0.379628	2261.619773	9.928384	1.534924	0.073780
0.470598	2328.094473	9.933389	1.534908	0.073832
0.734050	2260.247516	9.938394	1.534879	0.073779
1.183671	2305.441563	9.943399	1.534819	0.073814
1.035790	2301.542962	9.948403	1.534839	0.073811
1.402390	2340.538326	9.953408	1.534789	0.073842
1.867477	2541.337550	9.958413	1.534716	0.073998
1.881901	2410.553269	9.963418	1.534724	0.073896
2.169619	2469.029209	9.968423	1.534683	0.073942
2.152856	2476.845130	9.973427	1.534685	0.073948
2.472770	2560.897447	9.978432	1.534639	0.074014
2.116911	2583.198515	9.983437	1.534683	0.074031
2.489365	2624.845667	9.988442	1.534633	0.074064
2.256875	2520.229512	9.993447	1.534670	0.073982
2.840051	2577.169234	9.998451	1.534592	0.074027
2.760931	2689.505918	10.003456	1.534595	0.074114
3.053156	2653.473917	10.008461	1.534560	0.074086
2.918828	2509.822516	10.013466	1.534588	0.073974
3.142757	2668.796276	10.018471	1.534549	0.074098
2.971898	2547.295712	10.023475	1.534579	0.074003
3.407719	2796.909142	10.028480	1.534506	0.074198
3.580364	2553.311187	10.033485	1.534502	0.074008
3.762081	2538.916583	10.038490	1.534480	0.073997
3.979136	2703.756128	10.043495	1.534441	0.074125
4.327550	2711.664619	10.048499	1.534396	0.074132
4.322342	2596.648308	10.053504	1.534405	0.074042
4.730457	2639.891923	10.058509	1.534350	0.074076
4.676767	2657.294048	10.063514	1.534357	0.074089
5.166009	2750.045626	10.068519	1.534288	0.074162
5.476159	2964.779253	10.073523	1.534233	0.074329
5.069507	2762.857505	10.078528	1.534300	0.074172
5.471863	2694.838213	10.083533	1.534254	0.074119
5.776735	2702.241670	10.088538	1.534214	0.074125
5.850577	2954.829684	10.093543	1.534188	0.074322
5.794379	3021.061001	10.098547	1.534191	0.074373
6.159514	2921.114386	10.103552	1.534151	0.074295
6.245089	2995.208513	10.108557	1.534136	0.074353
6.526281	2990.336199	10.113562	1.534100	0.074350
6.235887	2922.337813	10.118567	1.534143	0.074296
6.862586	2902.439911	10.123571	1.534064	0.074281
6.792142	3078.690870	10.128576	1.534061	0.074418
6.769508	2993.139019	10.133581	1.534071	0.074352
7.020737	3069.312701	10.138586	1.534033	0.074411
6.732595	2924.163411	10.143591	1.534081	0.074298
7.363821	3026.650093	10.148595	1.533993	0.074378
7.152136	3225.056994	10.153600	1.534007	0.074533
7.329105	3031.156709	10.158605	1.533998	0.074382
7.438479	3132.820832	10.163610	1.533978	0.074461
7.508879	3121.616340	10.168615	1.533970	0.074452
8.090889	3114.373401	10.173619	1.533896	0.074447
7.799982	3160.188701	10.178624	1.533931	0.074482
8.268454	3204.427380	10.183629	1.533868	0.074517
8.209994	3299.120242	10.188634	1.533869	0.074591
8.184626	3154.339587	10.193639	1.533883	0.074478
8.571611	3264.836355	10.198643	1.533826	0.074564
8.727090	3269.398173	10.203648	1.533806	0.074568
8.667702	3188.682288	10.208653	1.533820	0.074505
9.235705	3353.036028	10.213658	1.533736	0.074633
8.839116	3338.624823	10.218663	1.533788	0.074622
9.086848	3219.729535	10.223667	1.533765	0.074529
9.131593	3264.026546	10.228672	1.533757	0.074564
9.243317	3286.161858	10.233677	1.533741	0.074581
9.213055	3362.792288	10.238682	1.533740	0.074641
9.614784	3311.460505	10.243687	1.533693	0.074601
9.712898	3318.494246	10.248691	1.533680	0.074606
9.905008	3504.399390	10.253696	1.533643	0.074751
9.736998	3455.144730	10.258701	1.533668	0.074713
9.801915	3586.737798	10.263706	1.533651	0.074815
10.003556	3573.787719	10.268711	1.533627	0.074805
10.089659	3281.668038	10.273715	1.533637	0.074578
10.669353	3276.472076	10.278720	1.533563	0.074574
11.023518	3530.802131	10.283725	1.533500	0.074772
10.950839	3626.996799	10.288730	1.533503	0.074847
11.202804	3562.403380	10.293735	1.533476	0.074797
11.111999	3589.718327	10.298739	1.533486	0.074818
10.892122	3479.792754	10.303744	1.533522	0.074732
11.069809	3612.237451	10.308749	1.533491	0.074835
11.207146	3576.742955	10.313754	1.533476	0.074808
11.507819	3518.785657	10.318759	1.533442	0.074763
11.443444	3679.576855	10.323763	1.533439	0.074888
11.879883	3658.145155	10.328768	1.533385	0.074871
11.952323	3698.585434	10.333773	1.533374	0.074903
11.754184	3675.316394	10.338778	1.533401	0.074885
12.138957	3663.701442	10.343783	1.533353	0.074876
12.367327	3668.583526	10.348787	1.533324	0.074880
12.384808	3713.754067	10.353792	1.533319	0.074915
12.583961	3789.471993	10.358797	1.533288	0.074974
12.655787	3806.677310	10.363802	1.533278	0.074987
12.738780	3816.863905	10.368807	1.533267	0.074995
12.765277	3785.867402	10.373811	1.533267	0.074971
12.872625	3871.321788	10.378816	1.533247	0.075038
12.887091	3842.275361	10.383821	1.533248	0.075015
12.964091	3843.433846	10.388826	1.533238	0.075016
13.197820	3831.937380	10.393831	1.533210	0.075007
13.534239	3910.470392	10.398835	1.533161	0.075069
13.458233	3859.951651	10.403840	1.533175	0.075029
13.756078	3858.077436	10.408845	1.533138	0.075028
13.659384	3900.520011	10.413850	1.533147	0.075061
13.889083	4040.259559	10.418855	1.533109	0.075170
13.882948	4055.313002	10.423859	1.533109	0.075182
14.250217	3984.779055	10.428864	1.533067	0.075127
14.143377	4027.957412	10.433869	1.533078	0.075160
14.331887	4038.910383	10.438874	1.533054	0.075169
14.521504	3981.432666	10.443879	1.533034	0.075124
14.535786	4070.060001	10.448883	1.533026	0.075193
14.659772	4096.491356	10.453888	1.533009	0.075214
14.711895	4072.038048	10.458893	1.533004	0.075195
15.056831	4194.881833	10.463898	1.532952	0.075291
14.985235	3996.861423	10.468903	1.532975	0.075136
15.417041	4240.724024	10.473907	1.532903	0.075326
15.210546	4141.848349	10.478912	1.532937	0.075249
15.223658	4232.604477	10.483917	1.532929	0.075320
15.463228	4170.654097	10.488922	1.532904	0.075272
15.440734	4244.231380	10.493927	1.532902	0.075329
15.535552	4277.205914	10.498931	1.532888	0.075355
15.445268	4195.075668	10.503936	1.532905	0.075291
15.814473	4231.739586	10.508941	1.532856	0.075320
15.808535	4303.997454	10.513946	1.532852	0.075376
16.012393	4240.562961	10.518951	1.532831	0.075326
16.240709	4365.129572	10.523955	1.532793	0.075424
16.386246	4297.033108	10.528960	1.532780	0.075371
16.561364	4347.847921	10.533965	1.532754	0.075410
16.480670	4394.404026	10.538970	1.532762	0.075447
16.607258	4356.333413	10.543975	1.532749	0.075417
16.682179	4385.634959	10.548979	1.532737	0.075440
16.887025	4528.527557	10.553984	1.532701	0.075551
16.776794	4338.745935	10.558989	1.532729	0.075403
17.255580	4457.373125	10.563994	1.532660	0.075496
17.277402	4430.451179	10.568999	1.532660	0.075475
17.280088	4467.104800	10.574003	1.532657	0.075503
17.448472	4463.746204	10.579008	1.532636	0.075501
17.683378	4598.487666	10.584013	1.532597	0.075606
17.785658	4440.776719	10.589018	1.532595	0.075483
17.795400	4628.441806	10.594023	1.532581	0.075629
17.905350	4545.349308	10.599027	1.532574	0.075565
17.897100	4608.528541	10.604032	1.532571	0.075614
18.098350	4629.553178	10.609037	1.532544	0.075630
17.971735	4558.116028	10.614042	1.532565	0.075575
18.160053	4695.645802	10.619047	1.532532	0.075682
18.115128	4701.519309	10.624051	1.532538	0.075686
18.494966	4619.251322	10.629056	1.532495	0.075622
18.466598	4597.233263	10.634061	1.532501	0.075605
18.474568	4777.052644	10.639066	1.532488	0.075745
18.762009	4710.009515	10.644071	1.532456	0.075693
19.137772	4710.437598	10.649075	1.532408	0.075694
18.789953	4744.491109	10.654080	1.532451	0.075720
19.215178	4747.981910	10.659085	1.532397	0.075723
19.433598	4784.295957	10.664090	1.532366	0.075751
19.304068	4837.715570	10.669095	1.532380	0.075793
19.500419	4874.299887	10.674099	1.532352	0.075821
19.574137	4668.884282	10.679104	1.532358	0.075661
19.595230	4709.712699	10.684109	1.532353	0.075693
20.026621	4708.645546	10.689114	1.532298	0.075692
20.378865	4835.990378	10.694119	1.532244	0.075792
20.554693	5031.677507	10.699123	1.532208	0.075944
20.090523	5033.702674	10.704128	1.532268	0.075946
20.504274	4852.154806	10.709133	1.532228	0.075804
20.798764	4914.021206	10.714138	1.532187	0.075853
21.091387	4972.640396	10.719143	1.532145	0.075898
20.698486	4960.216918	10.724147	1.532197	0.075889
21.129358	4827.258660	10.729152	1.532152	0.075785
21.386414	5078.973962	10.734157	1.532101	0.075981
21.125155	5179.255806	10.739162	1.532128	0.076059
21.451541	4974.999328	10.744167	1.532101	0.075900
21.842719	4956.291003	10.749171	1.532053	0.075886
21.585749	5057.628479	10.754176	1.532079	0.075965
21.892473	5037.477205	10.759181	1.532042	0.075949
22.240014	5186.685779	10.764186	1.531987	0.076066
22.155997	5108.630198	10.769191	1.532004	0.076005
22.268755	5066.939294	10.774195	1.531993	0.075972
22.576302	5131.655812	10.779200	1.531949	0.076023
22.807953	5274.582347	10.784205	1.531910	0.076134
22.526331	5210.378492	10.789210	1.531951	0.076084
22.589811	5329.141244	10.794215	1.531935	0.076177
23.085312	5242.558246	10.799219	1.531878	0.076109
22.988282	5263.443944	10.804224	1.531889	0.076126
22.961805	5102.910257	10.809229	1.531904	0.076000
23.420074	5270.025389	10.814234	1.531834	0.076131
23.387210	5353.604580	10.819239	1.531833	0.076196
23.401301	5398.310579	10.824243	1.531828	0.076231
23.134121	5380.913870	10.829248	1.531864	0.076217
23.250324	5430.392717	10.834253	1.531846	0.076256
23.362254	5173.209243	10.839258	1.531851	0.076055
23.676433	5453.955004	10.844263	1.531791	0.076274
23.904678	5379.437932	10.849267	1.531767	0.076216
23.828269	5327.401182	10.854272	1.531781	0.076176
23.842300	5343.431487	10.859277	1.531779	0.076188
24.000651	5322.922002	10.864282	1.531760	0.076172
24.240521	5411.061551	10.869287	1.531724	0.076241
24.230098	5549.056781	10.874291	1.531716	0.076348
24.552448	5657.741556	10.879296	1.531667	0.076433
24.209401	5640.982931	10.884301	1.531713	0.076420
24.475905	5496.909456	10.889306	1.531689	0.076308
24.579678	5624.353530	10.894311	1.531667	0.076407
24.675707	5444.795080	10.899315	1.531668	0.076267
24.635173	5575.534454	10.904320	1.531665	0.076369
24.896402	5562.845142	10.909325	1.531632	0.076359
24.901935	5600.970576	10.914330	1.531629	0.076389
25.148741	5607.862276	10.919335	1.531598	0.076395
25.587546	5679.759510	10.924339	1.531537	0.076451
25.483788	5675.226131	10.929344	1.531551	0.076447
25.582274	5650.636765	10.934349	1.531541	0.076428
25.815837	5652.826513	10.939354	1.531511	0.076430
25.528656	5685.059182	10.944359	1.531546	0.076455
26.124368	5772.839041	10.949363	1.531464	0.076523
25.927284	5760.832488	10.954368	1.531490	0.076514
26.089681	5783.911368	10.959373	1.531468	0.076532
26.209749	5779.873786	10.964378	1.531454	0.076529
26.116424	5785.156468	10.969383	1.531466	0.076533
26.419005	5781.440554	10.974387	1.531427	0.076530
26.674483	5881.086295	10.979392	1.531388	0.076608
26.647427	5703.875485	10.984397	1.531405	0.076470
26.775244	5929.339618	10.989402	1.531373	0.076646
27.240973	5815.013836	10.994407	1.531321	0.076557
27.011213	5840.268426	10.999411	1.531350	0.076576
27.320013	5933.763562	11.004416	1.531304	0.076649
27.500381	5939.675892	11.009421	1.531281	0.076654
27.218592	5977.589967	11.014426	1.531315	0.076683
27.382876	5944.097751	11.019431	1.531296	0.076657
27.596529	5971.428270	11.024435	1.531267	0.076679
27.716817	6006.856805	11.029440	1.531250	0.076706
27.985451	5876.648859	11.034445	1.531225	0.076605
28.105228	6006.017656	11.039450	1.531201	0.076706
28.199130	6038.488393	11.044455	1.531187	0.076731
28.504899	5997.996272	11.049459	1.531151	0.076699
28.496878	6129.416912	11.054464	1.531144	0.076802
28.553410	6050.460297	11.059469	1.531142	0.076740
28.618686	6108.406584	11.064474	1.531130	0.076786
28.757330	6223.407156	11.069479	1.531105	0.076875
28.912873	6163.737787	11.074483	1.531090	0.076829
29.111772	6138.182248	11.079488	1.531066	0.076809
29.001185	6181.485280	11.084493	1.531078	0.076843
29.163651	6129.161306	11.089498	1.531061	0.076802
29.531399	6288.241020	11.094503	1.531003	0.076926
29.584154	6116.495424	11.099507	1.531009	0.076792
29.530701	6111.281976	11.104512	1.531017	0.076788
29.565848	6414.463327	11.109517	1.530991	0.077024
29.706580	6350.723911	11.114522	1.530978	0.076975
29.692971	6226.558637	11.119527	1.530989	0.076878
29.679970	6393.612812	11.124531	1.530979	0.077008
30.222486	6378.890206	11.129536	1.530911	0.076997
30.014771	6191.301515	11.134541	1.530952	0.076851
30.601546	6322.001829	11.139546	1.530868	0.076953
30.644794	6495.303195	11.144551	1.530850	0.077088
30.317049	6479.440081	11.149555	1.530894	0.077075
30.396828	6387.005863	11.154560	1.530891	0.077003
30.539949	6396.435432	11.159565	1.530872	0.077011
31.112827	6454.972865	11.164570	1.530795	0.077056
30.893714	6600.360263	11.169575	1.530813	0.077170
30.731988	6466.453689	11.174579	1.530844	0.077065
30.932613	6428.911879	11.179584	1.530821	0.077036
30.980451	6418.914683	11.184589	1.530816	0.077028
31.491747	6423.328777	11.189594	1.530751	0.077032
31.484694	6533.065466	11.194599	1.530744	0.077117
31.767325	6528.029154	11.199603	1.530709	0.077113
31.803907	6556.213612	11.204608	1.530703	0.077135
31.849684	6576.540411	11.209613	1.530696	0.077151
32.100695	6668.862525	11.214618	1.530657	0.077223
32.096363	6614.195141	11.219623	1.530662	0.077181
32.323201	6604.301646	11.224627	1.530634	0.077173
32.341843	6742.620795	11.229632	1.530623	0.077281
32.564259	6501.581929	11.234637	1.530612	0.077093
32.825789	6698.808931	11.239642	1.530565	0.077247
32.951804	6728.278515	11.244647	1.530547	0.077270
32.690303	6793.481820	11.249651	1.530576	0.077321
32.996689	6749.695909	11.254656	1.530540	0.077286
32.980738	6760.448549	11.259661	1.530542	0.077295
33.052716	6888.167565	11.264666	1.530524	0.077394
33.142838	6819.010726	11.269671	1.530518	0.077341
33.037307	6824.316466	11.274675	1.530532	0.077345
33.642426	6726.838422	11.279680	1.530461	0.077269
33.736686	6891.564382	11.284685	1.530438	0.077397
33.347299	6905.794765	11.289690	1.530487	0.077408
33.511669	6903.181904	11.294695	1.530467	0.077406
33.708446	6852.722431	11.299699	1.530446	0.077367
33.587086	7046.267239	11.304704	1.530448	0.077518
33.576944	6913.572119	11.309709	1.530459	0.077414
33.750965	6990.862361	11.314714	1.530432	0.077475
33.843254	6866.827330	11.319719	1.530429	0.077378
34.023327	6826.806823	11.324723	1.530409	0.077347
34.345669	6922.342385	11.329728	1.530362	0.077421
34.211999	7016.457564	11.334733	1.530373	0.077495
34.460130	6954.577340	11.339738	1.530346	0.077447
34.484224	6954.532961	11.344743	1.530343	0.077447
34.707953	6897.154774	11.349747	1.530319	0.077402
34.995674	6986.987756	11.354752	1.530276	0.077472
35.212710	7054.738149	11.359757	1.530244	0.077525
35.360443	7142.183210	11.364762	1.530219	0.077593
35.542314	7284.946148	11.369767	1.530186	0.077704
35.260396	7283.156140	11.374771	1.530223	0.077703
35.182610	7096.261194	11.379776	1.530247	0.077557
35.904065	7135.030014	11.384781	1.530152	0.077588
35.734992	7300.152640	11.389786	1.530162	0.077716
35.624004	7173.622783	11.394791	1.530186	0.077618
35.891269	7371.536589	11.399795	1.530138	0.077772
35.766815	7265.058003	11.404800	1.530162	0.077689
35.895366	7405.104190	11.409805	1.530136	0.077798
35.858774	7209.751321	11.414810	1.530155	0.077646
36.140308	7379.508025	11.419815	1.530107	0.077778
35.865154	7422.999292	11.424819	1.530140	0.077812
35.715086	7387.455142	11.429824	1.530162	0.077784
35.919981	7477.286248	11.434829	1.530130	0.077854
35.890385	7457.474935	11.439834	1.530136	0.077839
35.833191	7496.701089	11.444839	1.530141	0.077869
35.816305	7429.417565	11.449843	1.530148	0.077817
36.156881	7423.166503	11.454848	1.530105	0.077812
36.297811	7230.627850	11.459853	1.530101	0.077662
36.857779	7454.508167	11.464858	1.530014	0.077837
36.567518	7450.154712	11.469863	1.530052	0.077833
36.798964	7482.857852	11.474867	1.530020	0.077859
36.882349	7439.244039	11.479872	1.530013	0.077825
36.952127	7460.239783	11.484877	1.530003	0.077841
37.176773	7321.474888	11.489882	1.529985	0.077733
37.382025	7556.851841	11.494887	1.529942	0.077917
37.555891	7685.393504	11.499891	1.529911	0.078017
37.537530	7671.730921	11.504896	1.529915	0.078006
37.358830	7694.880451	11.509901	1.529937	0.078024
37.840468	7525.197557	11.514906	1.529887	0.077892
37.486642	7689.564213	11.519911	1.529922	0.078020
38.046002	7573.482854	11.524915	1.529859	0.077930
38.171730	7534.837065	11.529920	1.529846	0.077900
38.012931	7568.313500	11.534925	1.529864	0.077926
38.512878	7706.449400	11.539930	1.529791	0.078034
38.715157	7637.152733	11.544935	1.529770	0.077980
38.507388	7761.877337	11.549939	1.529788	0.078077
38.757759	7726.964366	11.554944	1.529759	0.078050
38.673623	7691.135100	11.559949	1.529773	0.078022
38.888523	7908.987613	11.564954	1.529730	0.078191
39.072893	7650.760275	11.569959	1.529725	0.077990
39.096925	7850.179585	11.574963	1.529709	0.078146
39.276060	7814.106952	11.579968	1.529689	0.078118
39.202419	7865.513136	11.584973	1.529695	0.078158
39.413681	7857.414275	11.589978	1.529669	0.078151
39.333432	7880.963478	11.594983	1.529678	0.078170
39.588000	7975.756403	11.599987	1.529639	0.078244
39.934009	7882.144971	11.604992	1.529602	0.078171
39.907431	8036.254409	11.609997	1.529595	0.078291
39.713792	7889.417648	11.615002	1.529630	0.078176
39.940715	8063.272673	11.620007	1.529589	0.078312
40.059141	8035.694533	11.625011	1.529577	0.078291
40.183711	8105.481772	11.630016	1.529556	0.078345
40.150393	8059.207364	11.635021	1.529564	0.078309
40.011889	7876.356189	11.640026	1.529595	0.078166
40.201755	7907.164677	11.645031	1.529569	0.078190
40.490525	8090.400751	11.650035	1.529520	0.078333
40.711939	8043.917330	11.655040	1.529495	0.078297
40.723675	8181.528658	11.660045	1.529484	0.078404
40.945740	8191.452586	11.665050	1.529455	0.078412
40.598737	8110.805726	11.670055	1.529506	0.078349
41.112597	8183.826245	11.675059	1.529435	0.078406
40.614300	8088.088307	11.680064	1.529507	0.078331
41.300286	8215.851304	11.685069	1.529410	0.078431
41.268463	8073.823347	11.690074	1.529425	0.078321
41.447238	8290.934456	11.695079	1.529387	0.078490
41.477432	8162.405396	11.700083	1.529392	0.078390
41.722127	8206.503313	11.705088	1.529358	0.078424
41.722011	8110.932995	11.710093	1.529366	0.078350
41.845875	8252.895566	11.715098	1.529340	0.078460
42.144780	8138.624308	11.720103	1.529310	0.078371
42.193721	8252.895930	11.725107	1.529296	0.078460
42.378249	8220.325969	11.730112	1.529275	0.078435
42.667941	8437.358301	11.735117	1.529224	0.078604
42.441767	8374.015063	11.740122	1.529257	0.078555
42.877841	8300.533125	11.745127	1.529207	0.078498
43.025835	8507.172459	11.750131	1.529174	0.078659
42.870589	8445.558249	11.755136	1.529199	0.078611
43.064259	8365.358316	11.760141	1.529180	0.078548
43.427449	8464.273886	11.765146	1.529127	0.078625
43.404073	8448.647022	11.770151	1.529131	0.078613
43.342301	8600.299873	11.775155	1.529129	0.078731
43.249051	8392.736201	11.780160	1.529156	0.078570
43.769634	8475.732808	11.785165	1.529084	0.078634
43.724391	8344.805096	11.790170	1.529099	0.078532
43.831316	8546.375845	11.795175	1.529072	0.078689
43.927460	8656.790966	11.800179	1.529052	0.078776
43.919256	8739.843795	11.805184	1.529048	0.078840
43.912801	8626.997334	11.810189	1.529057	0.078752
43.897642	8654.024958	11.815194	1.529058	0.078773
44.259365	8569.543854	11.820199	1.529018	0.078708
44.374012	8644.105790	11.825203	1.528998	0.078766
44.474460	8531.825552	11.830208	1.528994	0.078678
44.418983	8705.259472	11.835213	1.528989	0.078813
44.499513	8828.562403	11.840218	1.528970	0.078910
44.804640	8725.152135	11.845223	1.528939	0.078829
44.757153	8742.288220	11.850227	1.528944	0.078842
44.580554	8715.056668	11.855232	1.528969	0.078821
45.051662	8719.678572	11.860237	1.528909	0.078825
44.960149	8648.503516	11.865242	1.528926	0.078769
45.323406	8802.703198	11.870247	1.528869	0.078890
45.116364	8985.885162	11.875251	1.528883	0.079032
45.239907	8743.005988	11.880256	1.528885	0.078843
45.587592	8881.218725	11.885261	1.528831	0.078951
45.423467	9001.874139	11.890266	1.528844	0.079045
45.255274	9050.178434	11.895271	1.528863	0.079082
45.318707	8759.308894	11.900275	1.528875	0.078856
45.749416	8943.726451	11.905280	1.528808	0.079000
45.944657	8849.609420	11.910285	1.528790	0.078926
45.879647	8936.262119	11.915290	1.528792	0.078994
45.810454	9043.810603	11.920295	1.528794	0.079078
45.590265	9051.520729	11.925299	1.528822	0.079084
46.025317	8860.315897	11.930304	1.528780	0.078935
46.398407	9094.127958	11.935309	1.528716	0.079117
46.189647	9105.421017	11.940314	1.528743	0.079126
46.271226	9042.957134	11.945319	1.528737	0.079077
46.130571	9109.861865	11.950323	1.528751	0.079129
46.341759	9011.119355	11.955328	1.528731	0.079052
46.616348	9000.908551	11.960333	1.528697	0.079044
47.128912	9156.150885	11.965338	1.528621	0.079165
46.817431	9157.043225	11.970343	1.528661	0.079166
46.817602	9078.663123	11.975347	1.528667	0.079105
46.961984	9207.724801	11.980352	1.528640	0.079206
47.127928	9171.309860	11.985357	1.528622	0.079177
47.376025	9355.484521	11.990362	1.528578	0.079321
47.131650	9263.162835	11.995367	1.528616	0.079249
47.653006	9231.851229	12.000371	1.528552	0.079225
47.197877	9183.772690	12.005376	1.528614	0.079187
47.951486	9230.847556	12.010381	1.528514	0.079224
47.627240	9303.678517	12.015386	1.528551	0.079281
47.742631	9337.030010	12.020391	1.528534	0.079307
47.765554	9354.631671	12.025395	1.528531	0.079320
47.957300	9233.648070	12.030400	1.528515	0.079226
48.024743	9216.826455	12.035405	1.528508	0.079213
48.378058	9340.411979	12.040410	1.528455	0.079309
48.331329	9265.332863	12.045415	1.528466	0.079251
48.358485	9354.992857	12.050419	1.528457	0.079321
48.891338	9497.749568	12.055424	1.528379	0.079432
48.912052	9375.369209	12.060429	1.528385	0.079337
48.819911	9464.824831	12.065434	1.528391	0.079406
