Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-44.207724	-192.592776	0.595571	1.540012	0.071857
-45.272531	-148.150284	0.600576	1.540146	0.071891
-46.287264	-207.984829	0.605581	1.540281	0.071844
-47.064039	-92.230159	0.610586	1.540373	0.071934
-48.182063	-291.522139	0.615590	1.540531	0.071779
-49.158024	-191.744299	0.620595	1.540650	0.071856
-50.280632	-212.326681	0.625600	1.540796	0.071840
-51.240576	-327.374747	0.630605	1.540927	0.071750
-52.188256	-6.915569	0.635610	1.541027	0.071999
-53.333721	-308.695039	0.640614	1.541196	0.071764
-54.353971	-108.333486	0.645619	1.541313	0.071920
-55.216929	-317.763653	0.650624	1.541439	0.071756
-56.232635	-118.974106	0.655629	1.541556	0.071911
-57.334119	-336.909573	0.660634	1.541713	0.071741
-58.281179	-169.995380	0.665638	1.541823	0.071871
-59.285991	-227.518119	0.670643	1.541956	0.071826
-60.186885	-257.258087	0.675648	1.542075	0.071802
-61.120997	-200.038938	0.680653	1.542191	0.071847
-62.280794	-156.979100	0.685658	1.542337	0.071880
-63.264118	-233.535310	0.690662	1.542469	0.071820
-64.168466	-210.443279	0.695667	1.542584	0.071838
-65.166779	-191.143048	0.700672	1.542711	0.071852
-66.129150	-179.675430	0.705677	1.542835	0.071861
-67.192578	-225.422607	0.710682	1.542975	0.071825
-68.268248	-131.699262	0.715686	1.543107	0.071898
-69.026490	-144.186751	0.720691	1.543205	0.071888
-70.161809	-255.873800	0.725696	1.543359	0.071801
-71.442339	-178.656878	0.730701	1.543519	0.071861
-72.229446	-202.690798	0.735706	1.543622	0.071842
-73.010997	-214.701302	0.740710	1.543723	0.071832
-74.508108	-247.591987	0.745715	1.543918	0.071806
-75.170637	-49.312347	0.750720	1.543990	0.071960
-76.444851	-186.743920	0.755725	1.544164	0.071853
-77.333014	-15.856152	0.760730	1.544266	0.071986
-78.335719	-195.922520	0.765734	1.544408	0.071845
-79.455725	-129.519693	0.770739	1.544548	0.071897
-80.049267	-27.846171	0.775744	1.544617	0.071976
-80.834041	-122.205826	0.780749	1.544725	0.071902
-82.149066	-103.401687	0.785754	1.544893	0.071916
-83.295590	-214.090381	0.790758	1.545048	0.071830
-84.176285	-189.210415	0.795763	1.545160	0.071849
-85.321259	-147.925988	0.800768	1.545305	0.071881
-86.339627	-219.659225	0.805773	1.545441	0.071825
-87.072483	-251.325222	0.810778	1.545538	0.071800
-88.388283	-100.449687	0.815782	1.545696	0.071917
-89.267210	-41.070908	0.820787	1.545806	0.071963
-90.136468	-171.622266	0.825792	1.545927	0.071861
-91.179197	-61.879919	0.830797	1.546053	0.071947
-91.808238	-224.725658	0.835802	1.546146	0.071819
-92.911605	-163.784152	0.840806	1.546284	0.071867
-94.506813	-306.802488	0.845811	1.546499	0.071755
-95.501867	-347.679145	0.850816	1.546631	0.071723
-96.249924	-128.299936	0.855821	1.546712	0.071893
-97.576447	-167.472212	0.860826	1.546885	0.071863
-98.163564	-225.201316	0.865830	1.546965	0.071817
-99.539651	-152.075799	0.870835	1.547137	0.071874
-100.428576	-255.384932	0.875840	1.547259	0.071793
-101.515733	-159.536860	0.880845	1.547392	0.071868
-102.286033	-272.989467	0.885850	1.547500	0.071779
-103.487738	-141.140583	0.890854	1.547645	0.071882
-104.461357	-309.064970	0.895859	1.547783	0.071750
-105.295800	-102.551830	0.900864	1.547876	0.071911
-106.518806	-119.653530	0.905869	1.548034	0.071898
-107.652350	-164.601705	0.910874	1.548184	0.071862
-108.466303	-213.978483	0.915878	1.548292	0.071823
-109.654659	-300.577281	0.920883	1.548451	0.071756
-110.460400	-287.509483	0.925888	1.548554	0.071766
-111.575317	-355.124721	0.930893	1.548703	0.071713
-112.401801	-134.193128	0.935898	1.548794	0.071885
-113.274247	-200.793918	0.940902	1.548911	0.071832
-114.423894	-233.874043	0.945907	1.549061	0.071806
-115.456874	-218.378764	0.950912	1.549194	0.071818
-116.556310	-146.076421	0.955917	1.549330	0.071874
-117.235863	-30.935279	0.960922	1.549410	0.071964
-118.049487	-248.515651	0.965926	1.549530	0.071794
-119.301487	-338.277851	0.970931	1.549698	0.071724
-120.507252	-235.959214	0.975936	1.549846	0.071803
-121.313251	-149.250826	0.980941	1.549944	0.071871
-122.382500	-100.708427	0.985946	1.550078	0.071908
-123.492085	-104.683474	0.990950	1.550221	0.071905
-124.631893	-170.720626	0.995955	1.550373	0.071853
-125.420431	-261.418063	1.000960	1.550481	0.071782
-126.476330	-210.502805	1.005965	1.550614	0.071822
-127.452177	-177.013498	1.010970	1.550737	0.071847
-128.384497	-220.426118	1.015974	1.550861	0.071813
-129.320780	8.401513	1.020979	1.550965	0.071991
-130.399133	-47.689383	1.025984	1.551108	0.071947
-131.125111	-126.101170	1.030989	1.551207	0.071886
-132.128188	-162.201574	1.035994	1.551339	0.071858
-133.571048	-100.872487	1.040998	1.551521	0.071905
-134.279045	-222.936137	1.046003	1.551621	0.071810
-135.242466	-112.425547	1.051008	1.551737	0.071896
-136.400328	-204.797016	1.056013	1.551893	0.071823
-137.900974	-186.137934	1.061018	1.552085	0.071838
-138.524914	-178.297928	1.066022	1.552165	0.071844
-139.582221	-212.697289	1.071027	1.552304	0.071816
-140.714217	-210.614704	1.076032	1.552450	0.071818
-141.743745	-332.978274	1.081037	1.552591	0.071722
-142.645141	-304.106012	1.086042	1.552705	0.071744
-143.539450	-78.352672	1.091046	1.552805	0.071920
-144.715407	-214.764858	1.096051	1.552966	0.071813
-145.531992	-216.377599	1.101056	1.553072	0.071812
-146.018523	-173.420731	1.106061	1.553132	0.071845
-147.272895	-3.788491	1.111066	1.553281	0.071977
-148.590665	-173.608549	1.116070	1.553463	0.071845
-149.583920	-308.653840	1.121075	1.553601	0.071739
-150.378305	-167.272985	1.126080	1.553693	0.071849
-151.779148	-201.352502	1.131085	1.553876	0.071822
-152.486591	-277.598690	1.136090	1.553973	0.071762
-153.511376	-306.615376	1.141094	1.554107	0.071740
-154.510340	-261.137140	1.146099	1.554233	0.071775
-155.670167	-181.407076	1.151104	1.554377	0.071837
-156.542450	-152.087435	1.156109	1.554488	0.071859
-157.559402	-193.000697	1.161114	1.554622	0.071827
-158.395593	-59.294681	1.166118	1.554720	0.071931
-159.485144	-250.662143	1.171123	1.554874	0.071782
